TIME	ALTITUDE	ORIENTATION_X	ORIENTATION_Y	ORIENTATION_Z	ANGVELOCITY_X	ANGVELOCITY_Y	ANGVELOCITY_Z	LINEARACCEL_X	LINEARACCEL_Y	LINEARACCEL_Z	MAGNETOMETER_X	MAGNETOMETER_Y	MAGNETOMETER_Z	ACCELEROMETER_X	ACCELEROMETER_Y	ACCELEROMETER_Z	GRAVITY_X	GRAVITY_Y	GRAVITY_Z	
4045663 5.60	39.06	86.31	1.44	0.00	0.00	-0.00	0.03	-0.03	0.01	-43.75	20.25	1.06	9.81	-0.28	0.58	9.78	-0.25	0.57	
4045741 5.50	39.06	86.31	1.44	0.00	0.00	0.00	0.06	0.06	-0.07	-45.25	20.25	2.75	9.83	-0.30	0.61	9.78	-0.25	0.57	
4045819 5.49	39.06	86.31	1.44	-0.00	-0.00	0.00	0.05	0.01	-0.04	-44.50	20.69	1.88	9.81	-0.22	0.58	9.78	-0.25	0.57	
4045899 5.46	39.06	86.31	1.44	0.00	-0.00	0.00	0.05	0.02	-0.05	-43.75	19.88	3.19	9.83	-0.22	0.51	9.78	-0.25	0.57	
4045978 5.57	39.06	86.31	1.44	-0.00	-0.00	0.00	0.05	-0.05	-0.08	-45.25	20.25	2.25	9.83	-0.30	0.48	9.78	-0.25	0.57	
4046058 5.68	39.06	86.31	1.44	0.00	-0.00	-0.00	0.05	-0.04	0.03	-44.06	20.25	3.19	9.83	-0.30	0.61	9.78	-0.25	0.57	
4046138 5.74	39.06	86.31	1.44	0.00	0.00	-0.00	0.03	-0.03	0.02	-44.50	19.88	2.75	9.81	-0.29	0.59	9.78	-0.25	0.57	
4046214 5.81	39.06	86.31	1.44	0.00	0.00	-0.00	0.05	0.05	-0.05	-44.50	20.69	3.19	9.83	-0.19	0.51	9.78	-0.25	0.57	
4046292 5.78	39.06	86.31	1.44	0.01	0.00	-0.00	0.03	0.06	-0.02	-44.88	21.06	2.75	9.82	-0.18	0.57	9.78	-0.25	0.57	
4046370 5.71	39.06	86.31	1.44	-0.01	0.00	0.00	0.05	0.01	-0.06	-44.88	19.88	3.19	9.83	-0.30	0.55	9.78	-0.25	0.57	
4046450 5.76	39.06	86.31	1.44	0.00	-0.00	-0.00	0.04	0.00	0.01	-44.88	20.69	2.75	9.82	-0.24	0.58	9.78	-0.25	0.57	
4046530 5.75	39.06	86.31	1.44	0.00	0.00	-0.00	0.05	-0.02	0.00	-44.88	20.69	1.50	9.83	-0.28	0.57	9.78	-0.25	0.57	
